page,country,rev_id,Population mid-2018 (millions),prediction
Billie Sutton,United States,799118912.0,328.0,Start
William David Upshaw,United States,799136515.0,328.0,Start
James I. Loeb,United States,799136692.0,328.0,C
Henry A. Melvin,United States,799211603.0,328.0,C
David Safavian,United States,799223779.0,328.0,C
Victor Vifquain,United States,799236587.0,328.0,C
William H. Withington,United States,799236624.0,328.0,Stub
James H. Harris,United States,799236686.0,328.0,Start
Martin T. McMahon,United States,799237084.0,328.0,B
John H. Moffitt,United States,799237132.0,328.0,Start
Henry H. Bingham,United States,799237531.0,328.0,C
John C. Black,United States,799237614.0,328.0,B
Hubert Dilger,United States,799237748.0,328.0,C
Guy Vernor Henry,United States,799237807.0,328.0,C
William Y. W. Ripley,United States,799237933.0,328.0,B
Amos J. Cummings,United States,799238099.0,328.0,Start
John C. Robinson,United States,799238154.0,328.0,GA
Thomas W. Bradley,United States,799238275.0,328.0,C
William Joyce Sewell,United States,799238310.0,328.0,C
Henry A. du Pont,United States,799238641.0,328.0,C
William E. Simonds,United States,799238901.0,328.0,Start
Webb Hayes,United States,799239335.0,328.0,Start
Willis W. Bradley,United States,799239505.0,328.0,C
Clyde L. Choate,United States,799240260.0,328.0,C
Peter J. Dalessandro,United States,799240386.0,328.0,Start
Nathan Green Gordon,United States,799240429.0,328.0,C
Tucker P. Smith,United States,799241413.0,328.0,Stub
Leo K. Thorsness,United States,799241662.0,328.0,GA
Brooke Ellison,United States,799284067.0,328.0,Start
Norm Semanko,United States,799300226.0,328.0,Start
Norm Wolfinger,United States,799300265.0,328.0,Start
Samuel E. Pingree,United States,799305133.0,328.0,C
Oscar R. Ewing,United States,799328317.0,328.0,C
Andrew Davidson (soldier),United States,799332403.0,328.0,Start
Lyman Trumbull,United States,799380364.0,328.0,C
Lynn Frazier,United States,799388822.0,328.0,Start
Otis family,United States,799414334.0,328.0,B
Edward J. Brundage,United States,799448205.0,328.0,Start
Sonia Johnson,United States,799505429.0,328.0,C
Leo Ryan,United States,799528192.0,328.0,GA
Political positions of Jeb Bush,United States,799542005.0,328.0,B
Political positions of Sarah Palin,United States,799542168.0,328.0,B
Sara Flounders,United States,799576966.0,328.0,Start
Denise Juneau,United States,799611429.0,328.0,C
Benjamin F. Tracy,United States,799634548.0,328.0,C
Van Rensselaer (family),United States,799646889.0,328.0,C
José Sarria,United States,799649001.0,328.0,FA
Charles Frankel,United States,799654475.0,328.0,Start
Biden family,United States,799748512.0,328.0,Start
Jose Aristimuño,United States,799768653.0,328.0,Stub
Nick Shalosky,United States,799829904.0,328.0,C
Public image of Mike Huckabee,United States,799852266.0,328.0,C
Public image of Mitt Romney,United States,799852277.0,328.0,FA
Public image of Rudy Giuliani,United States,799852293.0,328.0,GA
Public image of Sarah Palin,United States,799852308.0,328.0,B
R. M. Wanamaker,United States,799867185.0,328.0,Start
Raj Date,United States,799879909.0,328.0,Start
Randy Hopper,United States,799885588.0,328.0,C
Richard J. Griffin,United States,799940018.0,328.0,Start
Samuel M. Lambert,United States,800067435.0,328.0,Stub
Sarasota Assassination Society,United States,800077011.0,328.0,C
Carl Choisser,United States,800079152.0,328.0,Stub
John M. Bolton,United States,800087209.0,328.0,Stub
Doris Allen (politician),United States,800253145.0,328.0,Start
Don Owen (news anchor),United States,800275688.0,328.0,C
Donald Manes,United States,800303793.0,328.0,Start
Robert Smith Vance,United States,800378745.0,328.0,C
Doug Hoffman,United States,800400804.0,328.0,C
Kit Bond,United States,800443919.0,328.0,C
Charles Bent,United States,800516402.0,328.0,C
Susan Tierney,United States,800607565.0,328.0,Start
List of minority governors and lieutenant governors in the United States,United States,800638438.0,328.0,B
Stephanie Hannon,United States,800692309.0,328.0,Start
Taft family,United States,800750042.0,328.0,B
Stephanie Schriock,United States,800779451.0,328.0,Start
Jackson family of West Virginia,United States,800785078.0,328.0,Start
Van Cortlandt family,United States,800871691.0,328.0,Start
Jennifer Gale,United States,800881001.0,328.0,C
Theodore Joslin,United States,800947016.0,328.0,Start
Thomas Boylston Adams (1910–1997),United States,800957254.0,328.0,Start
Thomas Lowndes Snead,United States,800961804.0,328.0,Start
Thomas M. Hodgson,United States,800961966.0,328.0,Start
Thomas W. Hyde,United States,800964866.0,328.0,B
Aysh-ke-bah-ke-ko-zhay,United States,800989655.0,328.0,Stub
James Langevin,United States,800991757.0,328.0,C
Tony Coelho,United States,801002772.0,328.0,C
Edison Real Bird,United States,801009679.0,328.0,Stub
Chuck Graham,United States,801038355.0,328.0,Start
Udall family,United States,801050452.0,328.0,C
United States Children's Bureau,United States,801061518.0,328.0,B
Clayton family,United States,801104860.0,328.0,Start
Jason Rae,United States,801109736.0,328.0,C
Jack Deveraux,United States,801125891.0,328.0,C
Linda Moore (businesswoman),United States,801144750.0,328.0,C
Edwin Stanton McCook,United States,801184528.0,328.0,Start
Larry McDonald,United States,801186962.0,328.0,C
William Bulger,United States,801246654.0,328.0,C
William H. Frankhauser,United States,801252303.0,328.0,Start
William H. Lash,United States,801252456.0,328.0,Stub
William J. Henderson,United States,801255343.0,328.0,Stub
Women in the Black Panther Party,United States,801284282.0,328.0,Start
Byron M. Cutcheon,United States,801288994.0,328.0,C
Horatio Collins King,United States,801289746.0,328.0,Start
Richard Grenell,United States,801411518.0,328.0,Start
Suzanne Chun Oakland,United States,801438901.0,328.0,Start
Julie Kirchner,United States,801444165.0,328.0,Start
Mo Udall,United States,801454959.0,328.0,C
Cyrus Habib,United States,801482128.0,328.0,C
Florence Jaffray Harriman,United States,801497817.0,328.0,B
Isaac S. Catlin,United States,801512271.0,328.0,GA
Ogden R. Reid,United States,801519440.0,328.0,C
Gavrielle Holmes,United States,801600439.0,328.0,Stub
Nancy Nord,United States,801601799.0,328.0,C
Christopher J. Ward,United States,801606821.0,328.0,Start
Pamela Harriman,United States,801613040.0,328.0,C
Wray Thomas,United States,801618037.0,328.0,Stub
James E. Livingston,United States,801619618.0,328.0,C
Edwin Walker,United States,801643968.0,328.0,C
Monique Dorsainvil,United States,801710196.0,328.0,Start
Norm Coleman,United States,801712575.0,328.0,B
John Francis Wheaton,United States,801734660.0,328.0,B
Nancy Kulp,United States,801737432.0,328.0,GA
Roy Cohn,United States,801769794.0,328.0,GA
Hiram Gill,United States,801798257.0,328.0,C
Steve Novick,United States,801808557.0,328.0,C
Janet H. Brown,United States,801838976.0,328.0,Stub
Gary Loftus,United States,801845997.0,328.0,Stub
Tom Dennison (political boss),United States,801880072.0,328.0,B
Sheffield Nelson,United States,801885694.0,328.0,Start
Christopher Morgan (politician),United States,801932716.0,328.0,Start
Barry Peterson (Idaho),United States,801940675.0,328.0,Start
Tom Schweich,United States,801968862.0,328.0,C
Bayard family,United States,802032634.0,328.0,Start
Richard Ward Greene,United States,802034478.0,328.0,Stub
Robert Brank Vance,United States,802034491.0,328.0,Start
Misty Snow,United States,802051788.0,328.0,Start
Charles Woods (Alabama),United States,802069394.0,328.0,C
Sean Eldridge,United States,802102037.0,328.0,C
Benjamin Tillman,United States,802174551.0,328.0,FA
William C. Oates,United States,802178601.0,328.0,C
Delano family,United States,802242737.0,328.0,C
Steve Lonegan,United States,802268156.0,328.0,C
Parker Griffith,United States,802269152.0,328.0,C
List of politicians on Veep,United States,802302246.0,328.0,Start
Arlen Specter,United States,802421652.0,328.0,GA
Maurice Britt,United States,802428164.0,328.0,C
Thomas Jefferson Rusk,United States,802430572.0,328.0,C
Anson Jones,United States,802430648.0,328.0,C
George Petak,United States,802475167.0,328.0,Stub
Joel Pollak,United States,802519489.0,328.0,C
William Clark Falkner,United States,802524504.0,328.0,Start
Alyson Kennedy,United States,802526223.0,328.0,Start
Eric C. Bauman,United States,802545472.0,328.0,C
Craig Johnson (Iowa politician),United States,802585427.0,328.0,Stub
Andrew Do,United States,802611588.0,328.0,Stub
Richmond P. Hobson,United States,802640221.0,328.0,C
Voltaire P. Twombly,United States,802643483.0,328.0,GA
Joel Bomgar,United States,802683756.0,328.0,Start
Norris Cochran,United States,802698458.0,328.0,Stub
James Stockdale,United States,802699065.0,328.0,C
William Byrd III,United States,802745249.0,328.0,Start
John Milton (Florida politician),United States,802819262.0,328.0,Start
Lodge family,United States,802859459.0,328.0,Start
Gray Davis,United States,802907676.0,328.0,FA
Carter Harrison Sr.,United States,803030286.0,328.0,C
Joseph Wilson Ervin,United States,803042016.0,328.0,Start
List of Jewish American politicians,United States,803076089.0,328.0,B
Joanne Herring,United States,803095195.0,328.0,C
Fighting Dems,United States,803109508.0,328.0,C
Tommy F. Robinson,United States,803123449.0,328.0,C
Lucy Tayiah Eads,United States,803135822.0,328.0,Start
Martin D. Hamilton,United States,803184209.0,328.0,Start
Harry Johnston (politician),United States,803200362.0,328.0,Stub
Matthew Quay,United States,803246012.0,328.0,C
Michael Podhorzer,United States,803265175.0,328.0,Start
Robert Dorsey Watkins,United States,803298752.0,328.0,Start
Thayer family,United States,803300682.0,328.0,Start
Edward W. Carmack,United States,803307197.0,328.0,C
Phyllis Schlafly,United States,803319558.0,328.0,C
Saunders family,United States,803341014.0,328.0,Start
Houghton family,United States,803346570.0,328.0,Start
Bob Smith (American politician),United States,803364874.0,328.0,C
Samuel Newitt Wood,United States,803367518.0,328.0,C
Clare Boothe Luce,United States,803425364.0,328.0,B
Dorian Lord,United States,803440441.0,328.0,C
Anton Cermak,United States,803574094.0,328.0,C
Bear's Rib,United States,803619692.0,328.0,Stub
Stephen Boyd (attorney),United States,803648860.0,328.0,Start
James E. Smith (politician),United States,803679942.0,328.0,Stub
Philip Willkie,United States,803692835.0,328.0,Start
Jennifer Ho,United States,803693853.0,328.0,Start
Billy Tauzin,United States,803707427.0,328.0,C
Lee E. Goodman,United States,803709580.0,328.0,Start
Amy Dacey,United States,803713970.0,328.0,C
John Moran Bailey,United States,803753209.0,328.0,C
Greg Hyatt,United States,803772608.0,328.0,C
David McReynolds,United States,803813597.0,328.0,C
Richard J. Daronco,United States,803821108.0,328.0,C
Albert Jennings Fountain,United States,803906441.0,328.0,C
Edouard Izac,United States,803920747.0,328.0,C
John J. Kennedy (New York State Treasurer),United States,803931974.0,328.0,Start
David Paterson,United States,803933397.0,328.0,B
Francisco Guerrero (politician),United States,803953141.0,328.0,Start
John Kriesel,United States,803955866.0,328.0,Start
Douglas MacArthur,United States,803964189.0,328.0,FA
George Moscone,United States,803995478.0,328.0,C
Ellen Lord,United States,804003806.0,328.0,Stub
Ed Martin (Missouri politician),United States,804018714.0,328.0,C
Boren family,United States,804038363.0,328.0,Start
Charles E. Phelps,United States,804051551.0,328.0,C
Mark Hanna,United States,804057284.0,328.0,FA
Jesse B. Thomas,United States,804067052.0,328.0,Start
National Women's Political Caucus,United States,804068881.0,328.0,Start
Michael Olbrich,United States,804081210.0,328.0,Stub
Political positions of Rudy Giuliani,United States,804082579.0,328.0,B
Dan Kapanke,United States,804083434.0,328.0,C
William F. Tisch,United States,804093651.0,328.0,Stub
Rick Gudex,United States,804095077.0,328.0,Start
John Swainson,United States,804105984.0,328.0,C
Kevin James (broadcaster),United States,804123422.0,328.0,C
Fred Karger,United States,804151581.0,328.0,GA
John Gilbert Winant,United States,804201211.0,328.0,C
Philip S. Post,United States,804203329.0,328.0,C
Richard G. Green (lawyer),United States,804241784.0,328.0,Start
President of the Continental Congress,United States,804286248.0,328.0,FA
Nick Wasicsko,United States,804354264.0,328.0,GA
Karine Jean-Pierre,United States,804412006.0,328.0,Start
Views of Lyndon LaRouche and the LaRouche movement,United States,804424179.0,328.0,FA
Michael Parker (politician),United States,804431277.0,328.0,Start
Nelson A. Miles,United States,804460353.0,328.0,C
Public image of George W. Bush,United States,804494845.0,328.0,B
Jenifer Branning,United States,804514223.0,328.0,Start
Kathy Augustine,United States,804537464.0,328.0,C
Chase family,United States,804545909.0,328.0,B
Richard Shelby,United States,804550748.0,328.0,GA
James Henderson Berry,United States,804599753.0,328.0,Start
Ben Nighthorse Campbell,United States,804608578.0,328.0,C
John M. Farquhar,United States,804697452.0,328.0,Start
Francis T. Nicholls,United States,804734033.0,328.0,C
"William P. MacCracken, Jr.",United States,804746568.0,328.0,C
Adams political family,United States,804752771.0,328.0,C
List of United States political appointments across party lines,United States,804756849.0,328.0,C
Mark E. Clayton,United States,804757304.0,328.0,C
Lincoln Chafee,United States,804768298.0,328.0,GA
Nels Swandal,United States,804782901.0,328.0,Stub
Henry A. Crabb,United States,804785068.0,328.0,Stub
Gary George (Wisconsin politician),United States,804819065.0,328.0,B
R. Budd Dwyer,United States,804854342.0,328.0,GA
Daniel Inouye,United States,804861266.0,328.0,C
Fleming Amyx,United States,804864900.0,328.0,Stub
Andrej Lisanik,United States,804869037.0,328.0,Stub
O'Carroll,United States,804887590.0,328.0,C
David Ramsay (historian),United States,804896412.0,328.0,C
Doug Wead,United States,804931631.0,328.0,C
Adelbert Ames,United States,804933514.0,328.0,C
Frank Kameny,United States,804936582.0,328.0,GA
Lester C. Hunt,United States,804937199.0,328.0,GA
Forrest H. Anderson,United States,804937385.0,328.0,Start
Christine A. Varney,United States,804937399.0,328.0,GA
Robert Lee Henry,United States,804937479.0,328.0,Start
Fred Hasley,United States,804937526.0,328.0,Start
Aris T. Allen,United States,804937595.0,328.0,C
Michael D. Harter,United States,804937784.0,328.0,Start
Roy Hampton,United States,804937844.0,328.0,C
William H. Hughes,United States,804940426.0,328.0,Start
Frank B. Arnold,United States,804940476.0,328.0,Start
Vincent Luke Palmisano,United States,804941144.0,328.0,Start
Coleman W. Avery,United States,804941339.0,328.0,Start
Paul C. Barth,United States,804941459.0,328.0,Start
James D. Johnson,United States,804941532.0,328.0,C
Julius S. Berg,United States,804941654.0,328.0,Start
Charles A. Binder,United States,804941696.0,328.0,Stub
Joseph Wheeler Bloodgood,United States,804941770.0,328.0,Stub
Charles Jonas (Wisconsin politician),United States,804941914.0,328.0,C
Larry A. Kaczala,United States,804941978.0,328.0,Start
Ricardo Bordallo,United States,804942108.0,328.0,C
John S. Farrell,United States,804942202.0,328.0,Stub
Martin H. Glynn,United States,804942311.0,328.0,Start
B. G. Plumer,United States,804943813.0,328.0,Stub
Al Pearlman,United States,804944197.0,328.0,Stub
Will Rogers Jr.,United States,804945043.0,328.0,C
Thomas Reynolds (governor),United States,804945170.0,328.0,C
Justus Cornelius Ramsey,United States,804945652.0,328.0,Stub
Henry English Read,United States,804945715.0,328.0,Stub
Thomas Caute Reynolds,United States,804945844.0,328.0,C
Charles T. Perry,United States,804946008.0,328.0,Start
Christian A. Koenitzer,United States,804946057.0,328.0,Stub
Horace Worth Vaughan,United States,804946097.0,328.0,Start
Joseph Vilas,United States,804946404.0,328.0,Stub
Buron Fitts,United States,804946512.0,328.0,Start
James DiPaola,United States,804946617.0,328.0,Start
John Porter East,United States,804946771.0,328.0,Start
Francis J. D'Eramo,United States,804946812.0,328.0,Start
John Christopher Cutler,United States,804947150.0,328.0,Start
Gentry Crowell,United States,804947189.0,328.0,Start
John F. Collins,United States,804950843.0,328.0,GA
Bonnie Dumanis,United States,804967392.0,328.0,C
Soapy Smith,United States,804968910.0,328.0,C
William Crook (politician),United States,804989176.0,328.0,Stub
Russell Veh,United States,805010001.0,328.0,Start
Hiester family,United States,805016377.0,328.0,Stub
Ron Crickenberger,United States,805031334.0,328.0,Stub
Dennis Peron,United States,805048542.0,328.0,Start
Michela Alioto-Pier,United States,805092837.0,328.0,C
Family of Donald Trump,United States,805103271.0,328.0,GA
Hogan Gidley,United States,805108145.0,328.0,Stub
Arnold family,United States,805130443.0,328.0,Start
John F. Hartranft,United States,805132451.0,328.0,C
James A. Beaver,United States,805132499.0,328.0,C
George Berham Parr,United States,805143869.0,328.0,C
Thomas Gore,United States,805162001.0,328.0,GA
Douglas Domenech,United States,805168975.0,328.0,Start
Mike Boyle,United States,805180647.0,328.0,C
Lyman Hoffman,United States,805180928.0,328.0,Start
Misty Plowright,United States,805182675.0,328.0,Start
List of United States political families,United States,805212999.0,328.0,Start
George Wythe,United States,805273173.0,328.0,FA
Carmen Lucia (union organizer),United States,805287852.0,328.0,Start
Button Gwinnett,United States,805314310.0,328.0,C
List of foreign-born United States politicians,United States,805326323.0,328.0,B
Rupert Phillips,United States,805347719.0,328.0,Start
Sumner Welles,United States,805350408.0,328.0,B
Trump family,United States,805352961.0,328.0,GA
Shailagh Murray,United States,805372992.0,328.0,Start
Robert M. La Follette Jr.,United States,805407219.0,328.0,C
McCormick family,United States,805409467.0,328.0,C
Leonard Wood,United States,805411937.0,328.0,C
Timothy Davlin,United States,805454221.0,328.0,C
Sonny Perdue,United States,805454804.0,328.0,GA
Rockefeller family,United States,805480792.0,328.0,B
Dennis Shea (lawyer),United States,805517427.0,328.0,Stub
Matthew G. Martínez,United States,805535192.0,328.0,C
Theodore Roosevelt Jr.,United States,805568724.0,328.0,C
Alfred Nakak,United States,805569443.0,328.0,Start
Donald W. Riegle Jr.,United States,805571279.0,328.0,C
William F. Knowland,United States,805638733.0,328.0,C
Ben Klassen,United States,805651443.0,328.0,C
Mark Costello (Oklahoma politician),United States,805683729.0,328.0,Start
Joe Foss,United States,805713742.0,328.0,C
Moffie Funk,United States,805772949.0,328.0,Stub
Arthur A. Ballantine,United States,805779507.0,328.0,GA
Political boss,United States,805802544.0,328.0,C
Schuyler family,United States,805827465.0,328.0,C
Buddy Roemer,United States,805854822.0,328.0,GA
Victoria Lord,United States,805857707.0,328.0,GA
Bob Kerrey,United States,805863876.0,328.0,C
Nathan Deal,United States,805865647.0,328.0,GA
Glenn Hearn,United States,805927617.0,328.0,Start
John C. Stennis,United States,805927642.0,328.0,C
Stephen Hopkins (politician),United States,805934002.0,328.0,FA
Jocelyn Benson,United States,805955059.0,328.0,C
Victoria Neave,United States,805980023.0,328.0,Stub
Dan White,United States,805997998.0,328.0,C
Richard Dobbs Spaight,United States,806003157.0,328.0,C
Koch family,United States,806027450.0,328.0,C
Thaddeus Stevens,United States,806048772.0,328.0,FA
Steve Kerrigan,United States,806109794.0,328.0,C
Quincy political family,United States,806127336.0,328.0,Start
Lincoln family,United States,806137279.0,328.0,Start
Widow's succession,United States,806153574.0,328.0,Start
Harrison family of Virginia,United States,806156996.0,328.0,B
Lee family,United States,806157002.0,328.0,B
Roosevelt family,United States,806157006.0,328.0,C
James Michael Curley,United States,806165568.0,328.0,GA
John H. Hager,United States,806176639.0,328.0,C
Smedley Butler,United States,806251135.0,328.0,FA
List of the first LGBT holders of political offices in the United States,United States,806265292.0,328.0,B
Julius Stahel,United States,806287221.0,328.0,C
List of richest American politicians,United States,806288612.0,328.0,B
Patrick Miles Jr.,United States,806367442.0,328.0,C
Arthur Brown (Utah senator),United States,806372230.0,328.0,Start
Gouverneur Morris,United States,806380699.0,328.0,C
James Henry Lane (Union general),United States,806395302.0,328.0,C
Rudy Moise,United States,806399157.0,328.0,Start
Phillip Jackson,United States,806403304.0,328.0,Stub
James Forrestal,United States,806406121.0,328.0,GA
Grace Ross,United States,806438353.0,328.0,C
Warren Daniel,United States,806460970.0,328.0,Stub
Marshall Parker,United States,806513820.0,328.0,Start
Mike Jacobs (Georgia politician),United States,806545368.0,328.0,Start
Clinton family,United States,806554506.0,328.0,GA
Rick Perry,United States,806563994.0,328.0,GA
Nathaniel Ledbetter,United States,806570475.0,328.0,Stub
Marion B. Folsom,United States,806590590.0,328.0,Start
List of American federal politicians convicted of crimes,United States,806592277.0,328.0,B
List of United States politicians who have acknowledged cannabis use,United States,806618866.0,328.0,GA
Jim Jeffords,United States,806641448.0,328.0,C
Bob Dole,United States,806650098.0,328.0,C
Public image of Barack Obama,United States,806674128.0,328.0,B
Criticism of Franklin D. Roosevelt,United States,806674160.0,328.0,B
Jack Kevorkian,United States,806676114.0,328.0,GA
George Lincoln Rockwell,United States,806677734.0,328.0,C
Daniel Sickles,United States,806717973.0,328.0,C
Greg Brannon,United States,806719268.0,328.0,C
Bush family,United States,806754064.0,328.0,C
Public image of Bill Clinton,United States,806755755.0,328.0,GA
Allard K. Lowenstein,United States,806757522.0,328.0,C
Theodore Roosevelt,United States,806771467.0,328.0,FA
Family of Barack Obama,United States,806774219.0,328.0,B
John H. Wood Jr.,United States,806818215.0,328.0,Start
Kennedy family,United States,806833497.0,328.0,C
William S. Maynard,United States,806849567.0,328.0,Start
James Strang,United States,806859964.0,328.0,FA
Woodrow Wilson,United States,806921107.0,328.0,FA
Evan Mecham,United States,806932052.0,328.0,FA
Joshua Chamberlain,United States,806961306.0,328.0,C
Cultural and political image of John McCain,United States,807007010.0,328.0,FA
John Schofield,United States,807028903.0,328.0,C
Patrick Leahy,United States,807033614.0,328.0,C
List of American state and local politicians convicted of crimes,United States,807034552.0,328.0,B
"List of Hillary Clinton presidential campaign political endorsements, 2016",United States,807066604.0,328.0,B
Robert Toombs,United States,807110438.0,328.0,C
Greg Abbott,United States,807113113.0,328.0,GA
Party switching in the United States,United States,807114797.0,328.0,GA
Strom Thurmond,United States,807127241.0,328.0,C
List of African-American Republicans,United States,807140113.0,328.0,B
Women in conservatism in the United States,United States,807141944.0,328.0,C
Jim Justice,United States,807153248.0,328.0,C
Michael Forbes,United States,807174953.0,328.0,C
Jay R. Vargas,United States,807193226.0,328.0,C
Judy Feder,United States,807224264.0,328.0,C
John Pope (Kentucky politician),United States,807225049.0,328.0,C
Robert F. Kennedy,United States,807240901.0,328.0,B
Bruce R. Watkins,United States,807247873.0,328.0,Start
Tammy Duckworth,United States,807249726.0,328.0,GA
Darrell Kick,United States,807254420.0,328.0,Start
Angela Davis,United States,807271995.0,328.0,B
Virgil Goode,United States,807285819.0,328.0,C
Hillaryland,United States,807287067.0,328.0,C
Alexander Hamilton,United States,807298433.0,328.0,B
John Rood,United States,807305287.0,328.0,Start
Edward I. Edwards,United States,807308113.0,328.0,Start
Environmental activism of Al Gore,United States,807336702.0,328.0,B
Stuart M. Gerson,United States,807341393.0,328.0,Start
Gabriel Rothblatt,United States,807351794.0,328.0,C
Charlie Crist,United States,807355312.0,328.0,GA
Brian Fitzpatrick (American politician),United States,807355682.0,328.0,Start
Brian Mast,United States,807357467.0,328.0,C
Breckinridge family,United States,807361852.0,328.0,C
Joseph M. McCormick,United States,807367296.0,328.0,C
First Family of the United States,United States,807378110.0,328.0,B
Danica Roem,United States,807378589.0,328.0,C
Harvey Milk,United States,807378968.0,328.0,FA
Romney family,United States,807386502.0,328.0,B
Franklin D. Roosevelt,United States,807395895.0,328.0,FA
Warren Terhune,United States,807396897.0,328.0,GA
Washburn family,United States,807413826.0,328.0,Start
John McCain,United States,807428251.0,328.0,FA
United States Attorneys appointed by Donald Trump,United States,807429322.0,328.0,B
Political appointments by Donald Trump,United States,807439921.0,328.0,C
Bob Stump (U.S. Congressman),United States,807439945.0,328.0,C
Mason family,United States,807454637.0,328.0,GA
Jan Lee,United States,807459157.0,328.0,Start
Hans A. Aune,United States,807470407.0,328.0,Stub
Huey Long,United States,807473939.0,328.0,B
Hamilton family,United States,807473969.0,328.0,C
Hal Bidlack,United States,807481636.0,328.0,C
Lucius Fairchild,United States,807483006.0,328.0,C
Francis Fessenden,United States,807483270.0,328.0,C
Sheikh Sadiq Ali Ansari,India,492060822.0,1371.3,Stub
Book:Two Political Biographies,India,636911471.0,1371.3,Stub
Pheroze Sethna,India,638214719.0,1371.3,Stub
Dilip Sarkar,India,638377138.0,1371.3,Stub
Fathema Ismail,India,648271473.0,1371.3,Stub
Political families of Odisha,India,664822251.0,1371.3,Stub
Brij Bhushan Mehra,India,668258382.0,1371.3,Stub
Lalbuaia,India,693337130.0,1371.3,Stub
Mahadeo Deole,India,694588693.0,1371.3,Stub
Electoral history of Atal Bihari Vajpayee,India,696606312.0,1371.3,Stub
Palden Tsering Gyamtso,India,696608668.0,1371.3,Stub
Gaya Prasad,India,697662367.0,1371.3,Stub
S. Ganesan,India,698048774.0,1371.3,Stub
Lalhmingthanga,India,705607317.0,1371.3,Stub
Srirang Narvekar,India,705607410.0,1371.3,Stub
Book:Indian Politicians,India,708482569.0,1371.3,Stub
Shakuntala Gamlin,India,708935044.0,1371.3,Stub
Jayant Prasad,India,709607698.0,1371.3,Start
Amolak Rattan Kohli,India,711781073.0,1371.3,Stub
Rakesh Sood,India,713133852.0,1371.3,Stub
Vatsu Meru,India,714026654.0,1371.3,Stub
Kant Kishore Bhargava,India,714430378.0,1371.3,Stub
Prabhat Prakash Shukla,India,714640755.0,1371.3,Stub
Koora Rajanna,India,716169915.0,1371.3,Stub
Shyamal Datta,India,717912563.0,1371.3,Stub
Mukhi Gobindram Pritamdas,India,718400488.0,1371.3,Stub
C. H. Sibghatullah,India,719056744.0,1371.3,Stub
Mohammad Aslam Kohli,India,719422020.0,1371.3,Stub
M. A. Kadar,India,719811980.0,1371.3,Stub
Master Taj-ud-Din Ansari,India,720230222.0,1371.3,Stub
Sanjeev Saxena,India,720279719.0,1371.3,Stub
B. Mohan Reddy,India,720284030.0,1371.3,Stub
Santiram Mahato,India,720303644.0,1371.3,Stub
Sheikh Hissam-ud-Din,India,720429567.0,1371.3,Stub
U. Rama Rao,India,720494745.0,1371.3,Stub
Ashoknath Banerji,India,720554317.0,1371.3,Stub
Madhav R. Bir,India,721201043.0,1371.3,Stub
Joginder Pal Pandey,India,721391486.0,1371.3,Stub
Jagat Ram Soondh,India,721394464.0,1371.3,Stub
Mahendra Sarvaiya,India,721713036.0,1371.3,Stub
Tej Singh (politician),India,721809950.0,1371.3,Stub
Azhikodan Raghavan,India,722600003.0,1371.3,Start
William Mackworth Young,India,722745301.0,1371.3,Stub
P. Chandra Mohan,India,723132931.0,1371.3,Stub
Mohammed Adam Mallik,India,723341660.0,1371.3,Stub
Pu Zoduha,India,723343448.0,1371.3,Stub
Vinod Saroj,India,723352694.0,1371.3,Start
Jagadisan Mohandas Kumarappa,India,723439312.0,1371.3,Stub
Moulana Abdullah Tari,India,723631747.0,1371.3,Stub
M. D. R. Ramachandran,India,724179391.0,1371.3,Stub
Kedar Nath Rai,India,724628450.0,1371.3,Stub
Ngairangbam Bijoy Singh,India,724740096.0,1371.3,Stub
Ch. Sarup Singh,India,724803914.0,1371.3,Stub
K. R. Guruswami Iyer,India,725178575.0,1371.3,Stub
Jagjivan Prasad Babu,India,725205938.0,1371.3,Stub
Mohd. Ali Khan,India,725358923.0,1371.3,Stub
Dinesh Chandra (politician),India,725508627.0,1371.3,Stub
Kumar Sankar Roy,India,726493686.0,1371.3,Stub
K. Vasudeva Aiyangar,India,726846455.0,1371.3,Stub
Scato Swu,India,728958694.0,1371.3,Stub
Bhrigu Phukan,India,728993886.0,1371.3,Start
P. A. Mohideen,India,729877150.0,1371.3,Stub
Sohan Singh Thandal,India,731125096.0,1371.3,Stub
Srikumar Mukherjee,India,732643498.0,1371.3,Stub
N Gokulakrishnan,India,732801963.0,1371.3,Stub
Anil Kumar Sahani,India,732802068.0,1371.3,Stub
Harivansh Narayan Singh,India,732802209.0,1371.3,Stub
A V Swamy,India,732802243.0,1371.3,Stub
Pabitra Kar,India,733099701.0,1371.3,Stub
Lalsawia,India,736324000.0,1371.3,Stub
Vedas Venkaiah,India,737383830.0,1371.3,Stub
Lalit Kumar Debbarma,India,737765797.0,1371.3,Stub
K.A. Keraleeyan,India,738225579.0,1371.3,Start
Kizhekethil Chandy,India,738506882.0,1371.3,Stub
Vasantham Karthikeyan,India,738566806.0,1371.3,Stub
Bhagwati Singh,India,738642646.0,1371.3,Stub
C. S. Ratnasabhapathy Mudaliar,India,739559254.0,1371.3,Stub
Kamen Ringu,India,739984310.0,1371.3,Stub
V. R. Ramanatha Iyer,India,740014832.0,1371.3,Stub
Pranab Basu,India,740126873.0,1371.3,Stub
Vinayak Sitaram Sarwate,India,740636552.0,1371.3,Stub
R. K. Trivedi,India,740935302.0,1371.3,Stub
Prabhudutt Brahmachari,India,740948267.0,1371.3,Stub
